Installed Packages
1password.x86_64                                         8.9.14-1                             @1password                
audit.x86_64                                             3.0.9-1.fc36                         @fedora-updates           
audit-libs.x86_64                                        3.0.9-1.fc36                         @fedora-updates           
augeas-libs.x86_64                                       1.13.0-2.fc36                        @anaconda                 
authselect.x86_64                                        1.4.0-1.fc36                         @fedora-updates           
authselect-libs.x86_64                                   1.4.0-1.fc36                         @fedora-updates           
auto-cpufreq.noarch                                      1.9.7-1                              @nobara-baseos            
autoconf.noarch                                          2.71-3.fc36                          @updates                  
automake.noarch                                          1.16.5-7.fc36                        @updates                  
avahi.x86_64                                             0.8-16.fc36                          @updates                  
avahi-glib.x86_64                                        0.8-16.fc36                          @updates                  
avahi-libs.i686                                          0.8-16.fc36                          @updates                  
avahi-libs.x86_64                                        0.8-16.fc36                          @updates                  
avahi-tools.x86_64                                       0.8-16.fc36                          @updates                  
avahi-ui-gtk3.x86_64                                     0.8-16.fc36                          @updates                  
b43-fwcutter.x86_64                                      019-21.fc36                          @anaconda                 
b43-openfwwf.noarch                                      5.2-28.fc36                          @anaconda                 
babl.x86_64                                              0.1.92-1.fc36                        @fedora-updates           
baobab.x86_64                                            42.0-1.fc36                          @anaconda                 
basesystem.noarch                                        11-13.fc36                           @anaconda                 
bash.x86_64                                              5.2.15-1.fc36                        @updates                  
bash-completion.noarch                                   1:2.11-6.fc36                        @anaconda                 
bc.x86_64                                                1.07.1-15.fc36                       @anaconda                 
bcache-tools.x86_64                                      1.1-2.fc36                           @anaconda                 
bind-libs.x86_64                                         32:9.16.33-1.fc36                    @fedora-updates           
bind-license.noarch                                      32:9.16.33-1.fc36                    @fedora-updates           
bind-utils.x86_64                                        32:9.16.33-1.fc36                    @fedora-updates           
binutils.x86_64                                          2.37-37.fc36                         @updates                  
binutils-gold.x86_64                                     2.37-37.fc36                         @updates                  
bison.x86_64                                             3.8.2-2.fc36                         @fedora                   
bitstream-vera-sans-fonts.noarch                         1.10-46.fc36                         @fedora                   
